State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.06994	1.10418	1.07850	1.13842	0.99291	1.06994	1.10418	1.06994	1.09562	1.11274	1.28393	1.25825	1.15554	1.18122	1.18978	1.26681	1.25825	1.15554	1.12986	1.31817	1.19834
2	1.01741	0.98034	1.05860	1.04212	1.10391	1.10391	1.05860	1.09979	1.19865	1.25220	1.26455	1.15746	1.19453	1.28103	1.09979	1.12451	1.20277	1.22748	1.27279	1.23572	1.35105
3	1.42766	1.34184	1.17021	1.19361	1.21702	1.16241	1.27943	1.27943	1.32624	1.47447	1.43546	1.69290	1.79432	1.55248	1.63829	1.63049	1.67730	1.61489	1.56028	1.52908	1.42766
4	4.57919	4.62245	4.47413	4.38762	4.10335	3.92413	3.68930	3.47301	3.38650	3.28144	3.04043	2.85504	2.73145	2.73762	2.68201	2.58313	2.55223	2.56459	2.49662	2.54605	2.58313
5	4.36094	4.26168	4.12933	4.14918	4.17565	4.32786	4.31462	4.14918	4.00360	3.61978	3.38817	3.40140	3.44773	3.47420	3.69919	3.77199	3.90434	3.90434	3.86463	3.73228	3.92419
6	2.98474	2.76917	2.66968	2.42924	2.72772	2.69455	2.86037	3.00961	3.01790	3.10081	3.26663	3.06765	2.89354	2.81063	2.69455	2.65310	2.52045	2.50386	2.72772	2.57019	2.40437
7	1.80979	1.78318	1.79649	1.68116	1.78318	1.77874	1.92069	2.00053	2.04933	2.04045	1.71221	1.94287	1.88964	1.76987	1.78762	1.77874	1.72108	1.83197	1.83197	1.75656	1.66341
8	1.72787	1.82396	1.89559	1.92180	1.91656	1.99867	1.97945	1.97072	1.95849	1.88511	1.79601	1.92529	1.91481	1.90782	1.90433	1.87812	1.91831	1.81872	1.85890	1.91656	1.90258
9	4.77281	5.04297	5.13302	5.29061	4.70527	4.81783	4.68275	4.02987	3.62463	3.10683	2.09373	1.86860	1.93614	1.80106	1.95865	2.13876	2.16127	2.13876	2.38640	2.18378	2.11624
10	2.77485	2.75247	2.75247	2.71517	2.87182	2.74501	2.69280	2.74501	2.59583	2.54361	2.59583	2.62566	2.58091	2.70771	2.59583	2.58091	2.46902	2.46902	2.35713	2.28254	2.37205
11	0.94989	0.95204	0.95234	0.95234	0.94774	0.94805	0.94897	0.95265	0.95694	0.96890	0.97749	0.97871	0.98178	0.97657	0.97749	0.96951	0.97381	0.97166	0.97227	0.97197	0.96645
12	0.93752	0.93796	0.93899	0.93899	0.94130	0.93904	0.93663	0.93791	0.93934	0.94292	0.95315	0.94681	0.95138	0.95384	0.95359	0.95521	0.95521	0.95851	0.95841	0.95880	0.96028
13	0.70926	0.63666	0.68134	0.78745	0.76511	0.71485	0.73160	0.79303	0.74835	0.80420	0.64783	0.61432	0.57523	0.67575	0.72602	0.74835	0.71485	0.75952	0.71485	0.78186	0.75952
14	1.84749	1.71510	1.60678	1.72714	1.50447	1.67298	1.93175	1.92573	1.95582	1.85351	1.87758	2.29282	1.99192	1.85953	2.05812	2.11830	2.01600	1.87157	1.74519	1.75723	1.80537
15	0.63874	0.64251	0.64320	0.64457	0.64423	0.64423	0.64560	0.64457	0.64320	0.64320	0.63874	0.63531	0.63496	0.63599	0.63153	0.62673	0.62329	0.62432	0.62398	0.62535	0.62123
