State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.39014	1.48835	1.44302	1.53368	1.60168	1.54879	1.45813	1.17859	0.74795	0.62707	0.55908	0.53641	0.58174	0.67996	0.67240	0.74040	0.77062	0.77817	0.77817	0.89906	0.96705
2	1.59970	1.53063	1.46882	1.50518	1.58516	1.60334	1.50518	1.49063	1.21069	0.98527	0.81803	0.69805	0.71987	0.74168	0.75986	0.77804	0.73805	0.79985	0.87620	0.93437	1.06162
3	2.59599	2.79568	2.98848	3.28458	3.56690	4.05580	4.46895	4.70996	4.80636	3.76659	2.64419	2.55467	2.36875	2.05200	2.07954	2.03134	2.41695	2.74747	2.97471	2.86454	3.12620
4	5.87454	7.11818	8.73272	11.44363	15.32181	20.43817	26.72180	34.00907	40.56542	40.55997	42.37088	55.60360	57.39814	55.70723	49.88724	41.23088	32.01816	24.01635	18.49635	14.32363	11.23090
5	5.94024	7.21357	8.95417	10.62468	13.06620	15.69462	19.42115	24.99925	31.99086	38.43343	40.71724	34.16370	30.22690	27.94893	28.45709	29.07623	27.09031	23.71424	18.99476	15.39673	12.28935
6	8.70109	9.53534	10.45740	11.24775	11.97223	12.68939	14.04322	13.25288	11.95027	14.66525	14.79697	5.19577	5.17382	6.44715	8.68645	13.15774	19.33412	23.23461	24.46403	23.30047	21.22948
7	2.41961	2.54881	2.74849	2.93251	2.88552	3.26530	3.71947	3.94263	3.71947	3.25355	2.90510	2.47834	2.10248	1.93804	1.95761	2.15729	2.46268	2.79547	2.97557	3.10869	2.99123
8	2.02011	2.00315	2.00469	1.99852	2.01394	1.94455	1.69936	1.52819	1.22132	1.11800	1.17660	1.13805	1.07328	1.06249	1.12263	1.21361	1.37398	1.59296	1.93067	2.22520	2.41488
9	3.75567	4.25246	4.82872	6.37868	8.10749	10.80998	13.98939	18.50017	23.92503	29.03195	33.76132	37.43751	36.08626	31.57548	25.71345	20.03026	15.63870	10.98882	8.60427	6.77611	5.74280
10	5.46465	6.12304	6.74852	7.57809	8.30232	8.94096	9.23724	9.18456	8.18381	6.91970	5.81360	5.38564	6.41274	7.91387	9.38867	10.28408	10.20507	10.12606	9.42817	8.52617	7.42666
11	1.12637	1.08713	1.05411	1.00323	0.94370	0.87035	0.78998	0.70527	0.63842	0.58565	0.55696	0.56941	0.59593	0.62787	0.67009	0.72502	0.79160	0.85520	0.91853	0.97049	1.02516
12	0.82481	0.79951	0.76450	0.71916	0.66150	0.58979	0.50961	0.42601	0.36418	0.32743	0.31307	0.31923	0.33563	0.35602	0.37828	0.40692	0.44588	0.49703	0.55308	0.61014	0.66129
13	1.72035	1.73514	2.12948	2.48933	3.05128	3.65759	3.89420	3.73153	2.47947	1.73021	1.57247	1.31614	1.08939	1.08939	1.05488	0.96616	0.86264	0.75912	0.76898	0.62603	0.59645
14	1.56164	1.60944	1.42884	1.30136	1.18982	1.11546	0.99329	0.87643	0.81269	1.34386	1.01453	0.66927	0.55773	0.52586	0.54179	0.64803	0.73833	0.86581	0.84987	0.94548	1.05703
15	0.46623	0.46199	0.45654	0.45078	0.43897	0.43139	0.41988	0.40564	0.39716	0.38838	0.38504	0.38504	0.38626	0.39201	0.40049	0.41201	0.42624	0.44079	0.45109	0.46078	0.46987
