State (Emission order)	H3k4me1	H3k4me2	H2az	H3k4me3	H3k9ac	H3k27ac	Ctcf	Ezh239875	H3k27me3	H3k09me3
1	0.21104767348336964	0.01212019636982403	0.01974177378139805	4.271845552973078E-4	0.01494682649982472	0.37563594426721353	0.008947827506025833	0.003738747770003879	7.325176503262601E-5	0.025904016011481183
2	0.8141182124830446	0.5069966766394352	0.18217312452071965	0.0011144927691931715	0.1068329874473431	0.8667141630772474	0.016797184348709505	0.014816197064602655	1.3194329677994205E-4	0.005572075653339101
3	0.8650706372585325	0.9969610388140313	0.46549495141767483	0.3363336171001161	0.5696208623734472	0.9887814519616971	0.04133736592412716	0.03869784255914514	1.4396276501160452E-4	0.0014425844647218075
4	0.17923687135205008	0.9819327732920692	0.6307292982451753	0.9972785665923711	0.8453739384809692	0.9174999309164963	0.06199079798046564	0.019156628438022346	0.0066582776117655425	0.00199897930327942
5	0.5931613042395254	0.9889405300823649	0.6404154634073818	0.984688712682776	0.1347393515375578	0.12478186850431214	0.10770113533201135	0.05654709909184804	0.0057542433736593335	0.004401159742954912
6	0.2818161308763461	0.7416749583090243	0.08343212083541066	0.13648237047315914	0.03399890940455175	0.05731597705513093	0.02283435009240813	0.009502018974963238	0.0013851560154286855	0.0033538354384817087
7	0.9052235276180578	0.7997791569153376	0.4617861538842827	0.030255664345192154	0.020840891617399625	0.14363243337832735	0.06722406813788892	0.06456409322969998	0.0012369579576124356	0.0015400341417573622
8	0.5844001974815871	0.04372811382661013	0.029174387226735418	1.7875447280032128E-45	0.005654816981012873	0.011729133249119353	0.008032211450978504	0.024037428166874826	8.726753449504259E-4	0.0012249888191794105
9	0.7281314576614031	0.8925315238452534	0.5367828562874738	0.6162583476926144	0.06871544222668297	0.013796883888068365	0.11777135960139883	0.8593385593410222	0.6702646957298768	0.08993405323541809
10	0.042071329428884585	0.01687850930393099	0.023065714645432844	0.010242939774157911	0.029497026460445597	2.318659093481596E-4	0.01496544578482475	0.6566999751634643	0.4700986803844544	0.10883635588578541
11	9.266830840200865E-4	1.3430872907592095E-4	0.0017000234294633843	4.0820784948817905E-5	0.0017830208380533751	9.263705594928418E-6	0.0020754729070133282	0.037585632952510065	0.039753230352505206	0.0012743790698712077
12	1.8502657493321242E-6	1.2753237223366347E-16	0.002851885038057358	2.779082393578079E-5	0.001796857570975512	1.290497143450082E-4	0.0010979922565544844	0.004484758015129629	9.849907155049923E-4	0.0016832799398441844
13	0.1846349309183388	0.05493785761911741	0.5756200626244873	3.740627809462377E-4	0.010023502764188246	0.0066551342363542505	0.00975896504892055	0.05495205410110165	0.0024034208402534956	0.010997444073926669
14	0.042780541437239555	0.03087269966882861	0.06456667627496698	4.272233559361312E-4	0.004995806024772206	0.0022734315555600535	0.884104354813917	0.061643147456921156	0.0023619515772505114	0.0043129494411800985
15	1.278114045187245E-4	5.30389293375461E-5	4.2036386276338817E-4	3.215966281837766E-4	0.0014931335633302167	3.0792037762325337E-5	0.0021422755662478823	0.003146785392030191	3.9385568138028485E-4	0.1010901257003928
