15	10	E	-7226197.3322433755	200
probinit	1	2.956763619249541E-296
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	6.102586657695945E-292
probinit	9	0.0
probinit	10	0.03676847390830186
probinit	11	1.90538244998263E-226
probinit	12	0.9199127573716223
probinit	13	5.180336119704355E-240
probinit	14	0.0
probinit	15	0.04331876872007582
transitionprobs	1	1	0.6276845134358292
transitionprobs	1	2	0.16020392941886744
transitionprobs	1	3	0.011912999058521858
transitionprobs	1	4	5.307070220426033E-4
transitionprobs	1	5	0.0
transitionprobs	1	6	0.001307542351105174
transitionprobs	1	7	4.2401860957561416E-8
transitionprobs	1	8	0.01556659716630295
transitionprobs	1	9	1.0644297114228294E-5
transitionprobs	1	10	3.3784932536891024E-5
transitionprobs	1	11	0.0
transitionprobs	1	12	0.16012463826362616
transitionprobs	1	13	0.012598628850254714
transitionprobs	1	14	0.0037755236603769916
transitionprobs	1	15	0.006250449141560977
transitionprobs	2	1	0.10728673543152788
transitionprobs	2	2	0.622641944958015
transitionprobs	2	3	0.13171384071806538
transitionprobs	2	4	0.0
transitionprobs	2	5	0.0
transitionprobs	2	6	4.379126713158638E-4
transitionprobs	2	7	0.011900196511910459
transitionprobs	2	8	0.10486716562096432
transitionprobs	2	9	0.0
transitionprobs	2	10	0.0
transitionprobs	2	11	0.0
transitionprobs	2	12	0.014746643768921446
transitionprobs	2	13	0.005569966310030211
transitionprobs	2	14	6.59183872093542E-4
transitionprobs	2	15	1.7641013715593315E-4
transitionprobs	3	1	0.0159905095790311
transitionprobs	3	2	0.24026000648971713
transitionprobs	3	3	0.6543723246975987
transitionprobs	3	4	0.022194271289689614
transitionprobs	3	5	0.0023366559231312125
transitionprobs	3	6	0.007444589333373831
transitionprobs	3	7	0.05162391826839078
transitionprobs	3	8	0.003398708021595651
transitionprobs	3	9	0.0
transitionprobs	3	10	0.0
transitionprobs	3	11	0.0
transitionprobs	3	12	9.110523191636531E-4
transitionprobs	3	13	3.78502480898316E-5
transitionprobs	3	14	0.0014301138302186339
transitionprobs	3	15	0.0
transitionprobs	4	1	4.6112667206233646E-4
transitionprobs	4	2	1.64008636261454E-4
transitionprobs	4	3	0.017515137482114106
transitionprobs	4	4	0.8305394532577688
transitionprobs	4	5	0.09956544452951534
transitionprobs	4	6	0.050260587896778494
transitionprobs	4	7	2.519574971483725E-4
transitionprobs	4	8	0.0
transitionprobs	4	9	7.147316434388319E-6
transitionprobs	4	10	0.0
transitionprobs	4	11	0.0
transitionprobs	4	12	6.417975382842001E-4
transitionprobs	4	13	2.8877758418821613E-4
transitionprobs	4	14	2.657916340269036E-4
transitionprobs	4	15	3.876995541732647E-5
transitionprobs	5	1	0.0
transitionprobs	5	2	0.0
transitionprobs	5	3	0.0020466095845225905
transitionprobs	5	4	0.10511194880761669
transitionprobs	5	5	0.6689203520850473
transitionprobs	5	6	0.11347303046967126
transitionprobs	5	7	0.05757765613995617
transitionprobs	5	8	0.0010591719114398663
transitionprobs	5	9	0.009684186280829265
transitionprobs	5	10	0.0
transitionprobs	5	11	0.004202790164381388
transitionprobs	5	12	0.014474623219245634
transitionprobs	5	13	0.017206724943044396
transitionprobs	5	14	0.005349181392811067
transitionprobs	5	15	8.937250014342334E-4
transitionprobs	6	1	0.0027496758408058655
transitionprobs	6	2	7.047949160731507E-4
transitionprobs	6	3	0.009547308904182981
transitionprobs	6	4	0.06246690614030817
transitionprobs	6	5	0.12945952195356955
transitionprobs	6	6	0.5481086326382797
transitionprobs	6	7	0.00316955851683326
transitionprobs	6	8	0.038431064408006296
transitionprobs	6	9	0.003080660267400348
transitionprobs	6	10	0.0013999589091123772
transitionprobs	6	11	0.010771073272365253
transitionprobs	6	12	0.18091248896153286
transitionprobs	6	13	0.0031206631557266083
transitionprobs	6	14	0.0015775960916865177
transitionprobs	6	15	0.004500096024117299
transitionprobs	7	1	0.0
transitionprobs	7	2	0.011784927717902656
transitionprobs	7	3	0.029696160134920144
transitionprobs	7	4	1.3468115094214433E-4
transitionprobs	7	5	0.03753354244078694
transitionprobs	7	6	0.0016800598353928957
transitionprobs	7	7	0.5696631265837465
transitionprobs	7	8	0.23905430960401308
transitionprobs	7	9	4.345080084632119E-4
transitionprobs	7	10	2.1370397058972004E-4
transitionprobs	7	11	0.009135102892917217
transitionprobs	7	12	0.041001440944973544
transitionprobs	7	13	0.05031865639638408
transitionprobs	7	14	0.009237493299991574
transitionprobs	7	15	1.1228701897626316E-4
transitionprobs	8	1	0.003344343128038603
transitionprobs	8	2	0.03761199887065801
transitionprobs	8	3	4.740239697164417E-4
transitionprobs	8	4	0.0
transitionprobs	8	5	3.030513446421565E-4
transitionprobs	8	6	0.007429652142071044
transitionprobs	8	7	0.08472052733711455
transitionprobs	8	8	0.6294858500581347
transitionprobs	8	9	4.685051919352417E-5
transitionprobs	8	10	4.6914328283621614E-4
transitionprobs	8	11	0.012628011550285862
transitionprobs	8	12	0.21745944020080948
transitionprobs	8	13	0.0012720196730254098
transitionprobs	8	14	0.004264709780249716
transitionprobs	8	15	4.90378143224287E-4
transitionprobs	9	1	0.0
transitionprobs	9	2	0.0
transitionprobs	9	3	1.434669980126904E-5
transitionprobs	9	4	0.0
transitionprobs	9	5	0.03178904826194583
transitionprobs	9	6	0.007039434060447931
transitionprobs	9	7	0.0016021813262667472
transitionprobs	9	8	0.0010762559416120827
transitionprobs	9	9	0.7395337094234953
transitionprobs	9	10	0.1820377255083695
transitionprobs	9	11	0.018367858588186865
transitionprobs	9	12	7.883002745952274E-4
transitionprobs	9	13	0.001830393436253928
