State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.40619	0.03954	1.03416	1.42840	1.28407	0.55909	1.05106	0.40070
2	0.84408	0.06007	1.00348	1.36239	1.26469	0.81806	1.16442	0.42494
3	0.44566	1.17974	1.31818	1.35545	1.43561	2.64427	3.02728	0.34771
4	0.56261	44.91580	7.76182	1.86646	3.04075	42.36672	24.96967	0.21083
5	0.52539	49.68523	7.13176	1.55829	3.38852	40.71849	20.39086	0.29778
6	0.41935	9.57015	2.65338	1.63550	3.26697	14.79743	12.15824	0.38549
7	0.78381	2.22876	1.77587	1.22126	1.71239	2.90519	2.82774	0.53941
8	1.99006	0.74573	1.75467	1.44476	1.79620	1.17663	1.63401	0.46171
9	0.15443	86.26289	9.00938	1.29616	2.09395	33.76236	16.94308	0.77387
10	0.46611	15.41325	2.84097	1.04682	2.59610	5.81378	8.27377	0.85176
11	11.33937	0.25677	0.87498	0.95337	0.97759	0.55698	0.89790	1.37806
12	70.73275	0.17980	0.91283	1.01319	0.95310	0.31308	0.55062	0.91111
13	0.62256	0.34246	0.72362	0.69858	0.64790	1.57252	1.90011	0.82985
14	0.57774	0.67522	1.69651	1.15597	1.87778	1.01456	1.05556	0.86750
15	10.12987	0.39982	0.53309	0.69218	0.63881	0.38506	0.44604	1.57347
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
